carat,cut,color,clarity,depth,table,x,y,z,price
medium,very_good,f,vvs2,low,high,medium,medium,medium,high
high,premium,g,vs1,low,medium,high,high,high,high
low,very_good,h,vvs2,low,medium,low,low,low,low
medium,very_good,f,vs1,high,medium,medium,medium,medium,medium
high,ideal,i,vs2,medium,low,high,high,high,high
medium,very_good,g,si2,high,medium,medium,medium,medium,medium
low,ideal,d,vvs2,medium,low,low,low,low,medium
low,ideal,h,vvs1,medium,medium,low,low,low,low
high,very_good,f,si1,medium,medium,high,high,high,high
medium,ideal,h,si1,medium,medium,medium,medium,medium,medium
high,ideal,g,si2,medium,medium,high,high,high,high
medium,premium,e,vs1,high,medium,medium,medium,medium,medium
medium,premium,g,si1,medium,high,medium,medium,medium,medium
medium,ideal,e,vs1,medium,medium,medium,medium,medium,medium
medium,very_good,h,si1,medium,medium,medium,medium,medium,medium
medium,ideal,g,vs1,medium,medium,medium,medium,medium,medium
high,ideal,e,si1,medium,low,high,high,high,high
high,good,e,si2,high,medium,medium,medium,high,medium
low,premium,h,vs1,low,high,low,low,low,low
high,ideal,h,vs1,low,medium,high,high,low,high
medium,premium,h,si1,high,medium,medium,medium,medium,medium
low,ideal,g,vvs1,low,medium,low,low,low,low
high,premium,i,vs2,low,medium,high,high,high,high
high,ideal,g,vs2,medium,medium,high,high,high,high
medium,ideal,f,si2,medium,medium,medium,medium,medium,medium
low,good,d,si1,high,low,low,low,low,low
low,very_good,f,vs2,medium,high,low,low,low,low
low,premium,h,si1,low,medium,low,low,low,low
high,ideal,g,si2,low,medium,high,high,high,high
medium,very_good,d,vs1,medium,medium,medium,medium,medium,medium
low,ideal,e,vvs1,medium,medium,low,low,low,low
low,ideal,f,if,medium,low,low,low,low,low
low,ideal,f,vs2,low,medium,low,low,low,low
high,ideal,h,vs1,medium,low,high,high,high,high
medium,very_good,f,si1,high,medium,medium,medium,medium,medium
low,ideal,i,vs2,medium,low,low,low,low,low
medium,premium,e,vs2,medium,high,medium,medium,medium,medium
low,very_good,g,vs1,medium,high,low,low,low,low
high,ideal,j,si1,medium,medium,high,high,high,high
medium,premium,f,si2,medium,medium,medium,medium,high,medium
medium,very_good,e,si1,low,medium,medium,medium,medium,high
medium,very_good,i,vs1,medium,medium,medium,medium,medium,medium
low,ideal,g,vs1,medium,medium,low,low,low,low
high,premium,g,si2,high,medium,high,high,high,high
low,premium,h,vs2,low,medium,low,low,low,low
high,premium,h,si2,medium,high,high,high,high,high
low,good,f,si2,high,medium,low,low,low,low
medium,ideal,f,vs1,medium,medium,medium,medium,medium,medium
medium,very_good,f,vvs2,high,high,medium,medium,medium,medium
medium,ideal,h,vs1,medium,medium,medium,medium,medium,medium
medium,premium,f,si1,high,medium,medium,medium,medium,medium
low,premium,e,vvs1,low,medium,low,low,low,medium
medium,very_good,f,si1,medium,high,medium,medium,medium,high
medium,ideal,d,vs1,medium,medium,medium,medium,medium,medium
high,ideal,d,vs2,medium,high,high,high,high,high
medium,very_good,e,vs1,medium,medium,medium,medium,medium,medium
high,good,h,vs2,medium,high,high,high,high,high
medium,very_good,h,vs2,high,medium,medium,medium,medium,medium
medium,ideal,d,si2,medium,medium,medium,medium,medium,high
high,ideal,f,si2,medium,medium,high,high,high,high
high,premium,i,si1,medium,high,high,high,high,high
high,ideal,d,si1,medium,medium,high,high,high,high
low,ideal,j,if,medium,medium,low,low,low,low
low,ideal,e,vs1,medium,medium,low,low,low,low
medium,very_good,f,si1,high,low,medium,medium,medium,high
high,ideal,f,si2,medium,low,high,high,high,high
high,premium,e,si2,high,high,high,high,high,high
medium,very_good,g,vvs1,medium,low,medium,medium,high,high
low,premium,g,vs1,medium,high,low,low,low,low
low,ideal,d,si1,medium,medium,low,low,low,low
high,premium,h,si2,low,high,high,high,medium,medium
low,good,e,si1,high,low,low,low,low,low
low,very_good,f,vvs1,low,medium,low,low,low,low
medium,ideal,j,si2,medium,low,medium,medium,medium,low
medium,ideal,e,vvs2,medium,low,medium,medium,medium,high
medium,premium,h,si2,low,high,medium,medium,medium,medium
medium,ideal,e,si1,medium,medium,medium,medium,medium,medium
low,ideal,e,vs2,medium,medium,low,low,low,low
high,fair,h,i1,high,high,high,high,high,medium
medium,good,h,vs2,high,high,medium,medium,medium,medium
medium,premium,e,vs2,low,high,medium,medium,medium,medium
high,premium,i,vs2,medium,high,high,high,high,high
high,very_good,h,si1,high,medium,high,medium,high,high
high,good,d,if,low,high,high,high,high,high
low,very_good,g,vvs2,medium,high,low,low,low,low
low,ideal,e,vvs2,medium,medium,low,low,low,low
high,good,f,vs2,high,medium,medium,medium,high,high
high,very_good,i,si1,medium,high,high,high,high,high
medium,very_good,i,vs2,high,medium,medium,medium,medium,medium
high,fair,h,vs2,high,high,medium,medium,high,high
high,good,d,vs2,high,low,high,high,high,high
medium,premium,g,vs2,low,medium,medium,medium,medium,medium
high,premium,i,si2,medium,medium,high,high,high,high
low,premium,e,si2,medium,medium,low,low,low,low
medium,very_good,e,si2,high,medium,medium,medium,medium,medium
medium,ideal,h,vs2,high,medium,medium,medium,medium,medium
low,premium,d,si1,medium,high,low,low,low,low
low,ideal,e,vs1,low,low,low,low,low,low
high,ideal,g,si1,medium,medium,high,high,high,high
low,ideal,j,si1,medium,low,low,low,low,low
medium,ideal,g,vvs2,medium,low,medium,medium,medium,medium
medium,ideal,d,vvs2,medium,medium,medium,medium,medium,medium
low,good,g,vs2,high,low,low,low,low,low
medium,ideal,f,si2,medium,medium,medium,medium,medium,medium
medium,ideal,h,si1,medium,medium,medium,medium,medium,medium
low,premium,g,vs1,low,high,low,low,low,low
medium,ideal,d,si1,medium,medium,medium,medium,medium,high
high,ideal,j,vs1,medium,medium,high,high,high,high
high,very_good,g,si2,medium,medium,high,high,high,high
high,premium,j,vs2,high,medium,high,high,high,high
medium,very_good,h,vs2,high,medium,medium,medium,medium,medium
low,ideal,f,vs1,high,low,low,low,low,medium
medium,ideal,h,vs1,medium,medium,medium,medium,medium,medium
low,premium,g,vvs1,medium,high,low,low,low,low
medium,ideal,f,vs2,medium,medium,medium,medium,medium,medium
medium,premium,f,vvs2,medium,medium,medium,medium,medium,medium
high,very_good,j,si2,medium,high,high,high,high,high
low,ideal,f,vs1,medium,low,low,low,low,low
medium,premium,h,si2,high,medium,medium,medium,medium,medium
low,very_good,f,vs1,medium,high,low,low,low,low
low,very_good,e,vs2,low,medium,low,low,low,low
low,very_good,e,vs2,medium,medium,low,low,low,low
low,very_good,g,if,low,medium,low,low,low,low
high,premium,d,si2,medium,high,high,high,high,high
low,ideal,h,vs2,medium,low,low,low,low,low
low,premium,g,si1,medium,medium,low,low,low,low
high,premium,j,vs2,low,medium,high,high,medium,medium
high,premium,e,si1,medium,medium,high,high,high,high
medium,good,h,si2,high,medium,medium,medium,medium,medium
medium,ideal,h,si2,medium,low,medium,medium,medium,medium
medium,very_good,d,vs1,low,medium,medium,medium,medium,medium
medium,ideal,d,si1,medium,low,medium,medium,medium,medium
high,good,d,si1,high,high,high,medium,high,high
high,ideal,i,vs2,medium,medium,high,high,high,high
medium,premium,d,si1,high,medium,medium,medium,medium,high
low,very_good,e,vs2,high,medium,low,low,low,low
high,ideal,g,vs2,medium,medium,medium,high,high,high
low,ideal,e,si1,medium,medium,low,low,low,low
low,ideal,h,vs2,medium,low,low,low,low,low
medium,ideal,d,vs2,high,medium,medium,medium,medium,medium
low,fair,f,si1,high,medium,low,low,low,low
low,premium,d,si2,medium,medium,low,low,low,low
high,premium,h,vs2,high,high,high,high,high,high
medium,premium,f,si2,low,high,medium,medium,medium,medium
low,very_good,j,vs2,medium,high,low,low,low,low
low,ideal,f,vvs1,medium,medium,low,low,low,low
low,ideal,h,si1,medium,medium,low,low,low,low
high,ideal,d,si2,medium,low,high,high,high,high
high,ideal,h,vs1,medium,medium,high,high,high,high
low,fair,e,si1,high,high,low,low,low,low
low,ideal,g,si1,medium,medium,low,low,low,low
medium,ideal,e,vs2,medium,medium,medium,medium,medium,medium
high,very_good,j,vs1,high,medium,high,high,high,high
high,fair,f,si2,high,medium,high,high,high,high
high,very_good,f,si1,high,medium,high,high,high,high
high,premium,d,vs2,medium,high,high,high,high,high
high,very_good,f,si2,medium,medium,high,high,high,high
low,ideal,d,vs1,medium,medium,low,low,low,medium
high,very_good,e,si2,low,high,high,high,high,high
low,very_good,h,si1,medium,low,low,low,low,low
low,premium,f,vs2,medium,medium,low,low,low,low
medium,ideal,g,vvs2,low,medium,medium,medium,medium,medium
medium,very_good,f,si2,medium,high,medium,medium,medium,medium
medium,premium,f,vs1,low,high,medium,medium,medium,medium
low,ideal,e,vs1,medium,medium,low,low,low,low
medium,fair,f,i1,high,low,medium,medium,medium,medium
low,ideal,h,if,low,medium,low,low,low,low
high,premium,i,si2,low,high,high,high,high,high
medium,premium,e,vs2,low,high,medium,medium,medium,medium
low,ideal,i,vvs2,low,medium,low,low,low,low
high,ideal,h,si1,high,medium,high,high,high,high
low,premium,g,vvs1,low,high,low,low,low,low
high,ideal,f,si2,medium,medium,high,high,high,high
high,premium,i,si2,medium,medium,high,high,high,high
medium,good,e,si2,high,medium,medium,medium,medium,medium
high,premium,j,vvs2,high,high,high,high,high,high
high,premium,j,si2,high,medium,high,high,high,high
high,premium,h,si1,medium,medium,high,high,high,high
high,very_good,h,si2,high,medium,high,high,high,high
low,premium,d,vvs2,low,high,low,low,low,low
low,ideal,h,vvs1,medium,low,low,low,low,low
medium,ideal,e,si1,low,low,medium,medium,medium,medium
high,ideal,g,vvs2,medium,low,high,high,high,high
low,premium,h,if,low,high,low,low,low,medium
medium,ideal,h,vs1,medium,medium,medium,medium,medium,medium
medium,premium,h,vs2,low,high,medium,medium,medium,medium
low,ideal,e,vs2,medium,low,low,low,low,low
medium,premium,e,vs2,medium,medium,medium,medium,medium,medium
medium,very_good,h,vs2,high,low,medium,medium,medium,medium
medium,very_good,j,si2,medium,high,medium,medium,medium,medium
low,very_good,i,if,low,medium,low,low,low,low
high,ideal,h,vs1,low,medium,high,high,high,high
medium,good,f,vs1,medium,high,medium,medium,medium,medium
medium,premium,e,si2,high,high,medium,medium,high,high
medium,fair,f,vs2,low,medium,medium,high,medium,high
high,very_good,f,si1,high,medium,high,high,high,high
high,very_good,d,si2,low,high,high,high,medium,high
medium,very_good,f,si1,high,medium,medium,medium,medium,high
low,very_good,h,vs2,medium,high,low,low,low,low
high,premium,f,si2,low,high,high,high,high,high
high,ideal,g,vs2,medium,medium,high,high,high,high
high,ideal,h,vs2,high,low,high,high,high,high
low,premium,g,si2,low,high,medium,medium,low,medium
high,fair,e,si1,high,medium,medium,medium,high,high
medium,ideal,e,vs2,medium,medium,medium,medium,medium,medium
high,very_good,i,si1,medium,high,high,high,high,high
high,premium,i,si1,low,medium,high,high,high,high
medium,very_good,e,si1,high,medium,medium,medium,medium,medium
medium,very_good,d,si1,high,high,medium,medium,medium,medium
high,premium,g,vs1,low,medium,high,high,high,high
low,ideal,i,vs1,medium,low,low,low,low,low
low,premium,e,si2,medium,high,low,low,low,low
high,very_good,e,vs2,low,medium,high,high,high,high
medium,very_good,e,vvs2,medium,high,medium,medium,medium,medium
low,ideal,i,vs2,medium,medium,low,low,low,low
low,premium,d,vvs2,low,high,low,low,low,medium
high,premium,i,si2,medium,medium,high,high,high,high
medium,good,h,si1,high,medium,medium,medium,high,medium
medium,very_good,f,vs2,high,medium,medium,medium,medium,medium
high,ideal,g,vvs2,medium,medium,high,high,high,high
low,very_good,e,vvs1,low,medium,medium,medium,low,medium
high,very_good,e,si1,high,medium,medium,medium,high,high
medium,very_good,e,si2,high,medium,medium,medium,medium,medium
high,ideal,g,vs2,medium,medium,high,high,high,high
medium,very_good,e,vs2,medium,medium,medium,medium,medium,high
medium,premium,d,vs2,medium,low,medium,medium,medium,medium
low,good,i,vs2,high,low,low,low,low,low
low,premium,e,vs2,medium,high,low,low,low,low
medium,premium,d,si1,low,medium,medium,medium,medium,medium
low,premium,e,vs2,medium,medium,low,low,low,low
medium,ideal,h,si2,low,medium,medium,medium,medium,low
medium,ideal,f,vvs1,medium,medium,medium,medium,medium,medium
medium,good,h,si1,medium,high,medium,medium,medium,medium
medium,premium,g,vs1,medium,medium,medium,medium,medium,medium
high,ideal,f,si2,medium,medium,high,high,high,high
low,very_good,g,vvs1,medium,high,low,low,low,low
medium,premium,e,vs1,high,high,medium,medium,medium,medium
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
